x1,x2,y1,y2,party,name
5.9,12.1,6.9,17.1,Republican,"Moran, Jerry"
0.9,2.1,14.9,18.1,Democrat,"Wyden, Ronald Lee"
5.9,11.1,15.9,17.1,Republican,"Rounds, Marion Michael (Mike)"
0.9,3.1,8.9,18.1,Democrat,"Hirono, Mazie"
3.9,7.1,12.9,17.1,Republican,"Collins, Susan Margaret"
0.9,3.1,8.9,18.1,Democrat,"Kaine, Timothy Michael (Tim)"
0.9,3.1,8.9,18.1,Democrat,"Cardin, Benjamin Louis"
0.9,2.1,14.9,18.1,Democrat,"Murray, Patty"
5.9,12.1,6.9,17.1,Republican,"Cassidy, Bill"
0.9,3.1,8.9,18.1,Democrat,"Blumenthal, Richard"
0.9,3.1,8.9,18.1,Democrat,"Warner, Mark"
5.9,12.1,6.9,17.1,Republican,"Flake, Jeff"
0.9,3.1,8.9,18.1,Democrat,"Mccaskill, Claire"
5.9,9.1,13.9,17.1,Republican,"Alexander, Lamar"
0.9,3.1,8.9,18.1,Democrat,"Stabenow, Deborah Ann"
9.9,12.1,11.9,17.1,Republican,"Cruz, Rafael Edward (Ted)"
0.9,3.1,8.9,18.1,Democrat,"Booker, Cory Anthony"
5.9,12.1,6.9,17.1,Republican,"Hoeven, John"
0.9,3.1,8.9,18.1,Democrat,"Nelson, Clarence William (Bill)"
0.9,3.1,8.9,18.1,Democrat,"Gillibrand, Kirsten"
5.9,11.1,15.9,17.1,Republican,"Cochran, William Thad"
7.9,12.1,10.9,17.1,Republican,"Cotton, Tom"
0.9,3.1,8.9,18.1,Democrat,"Brown, Sherrod"
6.9,12.1,16.9,17.1,Republican,"Sessions, Jefferson Beauregard Iii (Jeff)"
0.9,3.1,8.9,18.1,Democrat,"Carper, Thomas Richard"
0.9,1.1,17.9,18.1,Independent,"Sanders, Bernard"
0.9,3.1,8.9,18.1,Democrat,"Baldwin, Tammy"
0.9,3.1,8.9,18.1,Democrat,"Bennet, Michael F."
5.9,12.1,6.9,17.1,Republican,"Fischer, Debra (Deb)"
5.9,12.1,6.9,17.1,Republican,"Heller, Dean"
4.9,9.1,2.9,17.1,Republican,"Ayotte, Kelly"
0.9,2.1,14.9,18.1,Democrat,"Warren, Elizabeth"
0.9,3.1,8.9,18.1,Democrat,"Klobuchar, Amy"
1.9,4.1,9.9,15.1,Democrat,"Heitkamp, Mary Kathryn (Heidi)"
0.9,2.1,14.9,18.1,Democrat,"Udall, Thomas (Tom)"
5.9,12.1,6.9,17.1,Republican,"Sullivan, Daniel Scott"
0.9,3.1,8.9,18.1,Democrat,"Coons, Christopher A."
8.9,12.1,5.9,17.1,Republican,"Shelby, Richard C."
0.9,3.1,8.9,18.1,Democrat,"Shaheen, Jeanne"
8.9,12.1,5.9,17.1,Republican,"Sasse, Benjamin Eric"
7.9,12.1,10.9,17.1,Republican,"Risch, James"
5.9,11.1,15.9,17.1,Republican,"Murkowski, Lisa"
5.9,12.1,6.9,17.1,Republican,"Vitter, David"
7.9,12.1,10.9,17.1,Republican,"Scott, Tim"
5.9,12.1,6.9,17.1,Republican,"Roberts, Charles Patrick (Pat)"
5.9,12.1,6.9,17.1,Republican,"Inhofe, James Mountain"
0.9,3.1,8.9,18.1,Democrat,"Casey, Robert (Bob), Jr."
5.9,12.1,6.9,17.1,Republican,"Barrasso, John A."
0.9,3.1,8.9,18.1,Democrat,"Heinrich, Martin"
0.9,3.1,8.9,18.1,Democrat,"Boxer, Barbara"
2.9,4.1,4.9,13.1,Democrat,"Manchin, Joe, Iii"
0.9,3.1,8.9,18.1,Democrat,"Tester, Jon"
5.9,11.1,15.9,17.1,Republican,"Graham, Lindsey O."
0.9,3.1,8.9,18.1,Democrat,"Whitehouse, Sheldon"
5.9,12.1,6.9,17.1,Republican,"Ernst, Joni"
5.9,12.1,6.9,17.1,Republican,"Grassley, Charles Ernest"
5.9,12.1,6.9,17.1,Republican,"Cornyn, John"
5.9,11.1,15.9,17.1,Republican,"Hatch, Orrin Grant"
7.9,12.1,10.9,17.1,Republican,"Lankford, James"
0.9,3.1,8.9,18.1,Democrat,"Peters, Gary C."
5.9,12.1,6.9,17.1,Republican,"Mcconnell, Addison Mitchell (Mitch)"
5.9,8.1,7.9,16.1,Republican,"Kirk, Mark Steven"
5.9,12.1,6.9,17.1,Republican,"Corker, Robert (Bob)"
5.9,12.1,6.9,17.1,Republican,"Thune, John"
0.9,3.1,8.9,18.1,Democrat,"Durbin, Richard Joseph"
0.9,3.1,8.9,18.1,Democrat,"Menendez, Robert"
5.9,12.1,6.9,17.1,Republican,"Wicker, Roger F."
1.9,5.1,3.9,15.1,Democrat,"Donnelly, Joe"
0.9,3.1,8.9,18.1,Democrat,"Mikulski, Barbara Ann"
11.9,12.1,1.9,17.1,Republican,"Lee, Mike"
0.9,2.1,14.9,18.1,Democrat,"Markey, Edward John"
0.9,3.1,8.9,18.1,Democrat,"Schumer, Charles Ellis (Chuck)"
5.9,10.1,0.9,17.1,Republican,"Portman, Robert Jones (Rob)"
7.9,12.1,10.9,17.1,Republican,"Daines, Steve"
7.9,12.1,10.9,17.1,Republican,"Perdue, David Alfred, Jr."
0.9,3.1,8.9,18.1,Democrat,"Murphy, Christopher"
0.9,2.1,14.9,18.1,Democrat,"Cantwell, Maria E."
7.9,12.1,10.9,17.1,Republican,"Rubio, Marco"
5.9,12.1,6.9,17.1,Republican,"Toomey, Patrick Joseph"
0.9,2.1,14.9,18.1,Democrat,"Merkley, Jeff"
5.9,12.1,6.9,17.1,Republican,"Burr, Richard M."
5.9,12.1,6.9,17.1,Republican,"Mccain, John Sidney, Iii"
10.9,12.1,-0.1,17.1,Republican,"Paul, Rand"
0.9,3.1,8.9,18.1,Democrat,"Schatz, Brian Emanuel"
0.9,3.1,8.9,18.1,Democrat,"Leahy, Patrick Joseph"
5.9,12.1,6.9,17.1,Republican,"Isakson, Johnny"
7.9,12.1,10.9,17.1,Republican,"Crapo, Michael Dean"
5.9,12.1,6.9,17.1,Republican,"Coats, Daniel Ray"
0.9,3.1,8.9,18.1,Democrat,"Feinstein, Dianne"
0.9,3.1,8.9,18.1,Democrat,"Reid, Harry"
5.9,12.1,6.9,17.1,Republican,"Enzi, Michael B."
5.9,12.1,6.9,17.1,Republican,"Johnson, Ron"
5.9,12.1,6.9,17.1,Republican,"Blunt, Roy"
5.9,12.1,6.9,17.1,Republican,"Tillis, Thomas Roland (Thom)"
0.9,3.1,8.9,18.1,Democrat,"Franken, Al"
5.9,12.1,6.9,17.1,Republican,"Boozman, John"
5.9,12.1,6.9,17.1,Republican,"Gardner, Cory"
0.9,3.1,8.9,18.1,Independent,"King, Angus Stanley, Jr."
5.9,11.1,15.9,17.1,Republican,"Capito, Shelley Moore"
0.9,3.1,8.9,18.1,Democrat,"Reed, John F. (Jack)"
